Sub-Saharan Africa,Djibouti,Personal Care,Online,M,10/9/2010,566572940,10/26/2010,378,81.73,56.67,30893.94,21421.26,9472.68
Asia,Singapore,Baby Food,Offline,H,10/27/2015,942271459,11/13/2015,7919,255.28,159.42,2021562.32,1262446.98,759115.34
Asia,Philippines,Fruits,Offline,C,4/6/2014,311581122,5/22/2014,2633,9.33,6.92,24565.89,18220.36,6345.53
Sub-Saharan Africa,Guinea,Baby Food,Offline,H,3/31/2013,176113259,4/26/2013,4682,255.28,159.42,1195220.96,746404.44,448816.52
Central America and the Caribbean,Barbados,Cereal,Offline,M,3/15/2017,307791697,4/6/2017,1258,205.70,117.11,258770.60,147324.38,111446.22
Sub-Saharan Africa,Namibia,Cosmetics,Online,C,6/22/2016,998852765,7/1/2016,1585,437.20,263.33,692962.00,417378.05,275583.95
Europe,Belgium,Clothes,Online,H,10/30/2013,811845290,11/3/2013,1917,109.28,35.84,209489.76,68705.28,140784.48
Central America and the Caribbean,Dominican Republic,Vegetables,Online,M,2/7/2013,629630601,3/12/2013,541,154.06,90.93,83346.46,49193.13,34153.33
Sub-Saharan Africa,Djibouti,Office Supplies,Online,H,5/31/2015,505382525,6/12/2015,2775,651.21,524.96,1807107.75,1456764.00,350343.75
Central America and the Caribbean,Haiti,Cosmetics,Online,L,5/10/2015,112587392,6/1/2015,5966,437.20,263.33,2608335.20,1571026.78,1037308.42
North America,Canada,Cereal,Online,M,5/23/2012,995044028,6/21/2012,4495,205.70,117.11,924621.50,526409.45,398212.05
Sub-Saharan Africa,Burundi,Cosmetics,Offline,H,8/14/2014,716863763,8/28/2014,4773,437.20,263.33,2086755.60,1256874.09,829881.51
Central America and the Caribbean,Panama,Personal Care,Online,L,4/5/2012,512470424,5/23/2012,241,81.73,56.67,19696.93,13657.47,6039.46
Sub-Saharan Africa,Senegal,Office Supplies,Online,L,10/3/2011,336600339,10/14/2011,6375,651.21,524.96,4151463.75,3346620.00,804843.75
Middle East and North Africa,Libya,Meat,Offline,M,10/25/2016,214302337,11/20/2016,5679,421.89,364.69,2395913.31,2071074.51,324838.80
Europe,Montenegro,Clothes,Online,L,1/30/2017,690937745,2/25/2017,2688,109.28,35.84,293744.64,96337.92,197406.72
Sub-Saharan Africa,Burundi,Baby Food,Online,C,8/12/2014,582180392,9/15/2014,8970,255.28,159.42,2289861.60,1429997.40,859864.20
Australia and Oceania,Samoa ,Beverages,Offline,L,7/13/2012,124016606,8/18/2012,8125,47.45,31.79,385531.25,258293.75,127237.50
Sub-Saharan Africa,Djibouti,Fruits,Online,M,3/30/2011,522745215,4/3/2011,781,9.33,6.92,7286.73,5404.52,1882.21
Middle East and North Africa,Yemen,Vegetables,Online,C,3/18/2012,804977548,4/15/2012,9600,154.06,90.93,1478976.00,872928.00,606048.00
Europe,Armenia,Snacks,Offline,H,3/10/2014,967637431,4/10/2014,4274,152.58,97.44,652126.92,416458.56,235668.36
Europe,Hungary,Cereal,Online,H,12/24/2016,627961194,12/27/2016,6527,205.70,117.11,1342603.90,764376.97,578226.93
Europe,Switzerland,Office Supplies,Offline,H,2/9/2010,373497664,3/2/2010,5114,651.21,524.96,3330287.94,2684645.44,645642.50
Central America and the Caribbean,Cuba,Cereal,Online,H,6/11/2014,412108170,7/7/2014,820,205.70,117.11,168674.00,96030.20,72643.80
Sub-Saharan Africa,Nigeria,Vegetables,Offline,H,4/10/2010,121966540,5/26/2010,1464,154.06,90.93,225543.84,133121.52,92422.32
Europe,Norway,Baby Food,Online,C,10/25/2016,301559102,11/16/2016,6894,255.28,159.42,1759900.32,1099041.48,660858.84
