Sub-Saharan Africa,Cote d'Ivoire,Cereal,Online,M,11/26/2010,309451663,1/11/2011,2479,205.70,117.11,509930.30,290315.69,219614.61
Sub-Saharan Africa,Malawi,Cereal,Online,C,9/11/2014,682074010,10/2/2014,9712,205.70,117.11,1997758.40,1137372.32,860386.08
Europe,Kosovo,Personal Care,Online,C,12/12/2012,568620002,1/19/2013,6149,81.73,56.67,502557.77,348463.83,154093.94
Asia,Japan,Snacks,Online,H,8/6/2016,120700967,9/21/2016,6953,152.58,97.44,1060888.74,677500.32,383388.42
Sub-Saharan Africa,Comoros,Baby Food,Online,M,2/19/2011,460240733,3/23/2011,4315,255.28,159.42,1101533.20,687897.30,413635.90
Middle East and North Africa,Somalia,Vegetables,Offline,H,5/30/2013,529475629,7/18/2013,2460,154.06,90.93,378987.60,223687.80,155299.80
Sub-Saharan Africa,Seychelles ,Beverages,Online,C,11/3/2014,240954482,12/8/2014,2641,47.45,31.79,125315.45,83957.39,41358.06
Sub-Saharan Africa,Chad,Personal Care,Online,L,6/19/2015,927538621,8/2/2015,8145,81.73,56.67,665690.85,461577.15,204113.70
Europe,Andorra,Meat,Offline,H,8/11/2012,392401874,8/27/2012,9289,421.89,364.69,3918936.21,3387605.41,531330.80
Australia and Oceania,Tonga,Fruits,Offline,C,4/1/2012,559030568,4/8/2012,8423,9.33,6.92,78586.59,58287.16,20299.43
Central America and the Caribbean,Jamaica,Snacks,Offline,C,1/17/2010,721223533,1/26/2010,4925,152.58,97.44,751456.50,479892.00,271564.50
Sub-Saharan Africa,South Sudan,Clothes,Online,H,4/23/2010,693092095,5/21/2010,208,109.28,35.84,22730.24,7454.72,15275.52
Sub-Saharan Africa,Namibia,Household,Online,H,8/16/2014,359060084,8/24/2014,2713,668.27,502.54,1813016.51,1363391.02,449625.49
Europe,Netherlands,Cereal,Offline,H,7/1/2010,123863828,7/7/2010,2914,205.70,117.11,599409.80,341258.54,258151.26
Asia,Malaysia,Personal Care,Online,H,1/2/2013,462552154,1/22/2013,8316,81.73,56.67,679666.68,471267.72,208398.96
Australia and Oceania,Samoa ,Vegetables,Online,L,7/27/2015,570486390,8/2/2015,8455,154.06,90.93,1302577.30,768813.15,533764.15
Sub-Saharan Africa,Kenya,Snacks,Online,H,6/16/2016,613340365,6/30/2016,9899,152.58,97.44,1510389.42,964558.56,545830.86
Asia,China,Cereal,Online,C,1/7/2015,377100408,1/10/2015,1245,205.70,117.11,256096.50,145801.95,110294.55
