Middle East and North Africa,Saudi Arabia,Meat,Online,H,7/13/2012,257007396,7/29/2012,3055,421.89,364.69,1288873.95,1114127.95,174746.00
Sub-Saharan Africa,The Gambia,Vegetables,Offline,L,4/26/2010,578048932,5/12/2010,6379,154.06,90.93,982748.74,580042.47,402706.27
Europe,Czech Republic,Fruits,Offline,M,5/12/2016,892896926,6/8/2016,6897,9.33,6.92,64349.01,47727.24,16621.77
Central America and the Caribbean,Belize,Household,Offline,C,10/14/2011,284412705,11/10/2011,2895,668.27,502.54,1934641.65,1454853.30,479788.35
Europe,Slovenia,Cereal,Online,M,11/3/2012,605770099,12/5/2012,9689,205.70,117.11,1993027.30,1134678.79,858348.51
Asia,Bhutan,Clothes,Online,C,2/20/2014,630455434,3/13/2014,4628,109.28,35.84,505747.84,165867.52,339880.32
Europe,Liechtenstein,Cereal,Online,C,2/18/2015,102267539,3/3/2015,2092,205.70,117.11,430324.40,244994.12,185330.28
Sub-Saharan Africa,South Africa,Cosmetics,Offline,H,5/6/2016,185317742,6/14/2016,8493,437.20,263.33,3713139.60,2236461.69,1476677.91
Australia and Oceania,Tonga,Cereal,Offline,H,7/31/2015,314029872,8/16/2015,7272,205.70,117.11,1495850.40,851623.92,644226.48
Middle East and North Africa,Oman,Snacks,Online,C,9/10/2011,443140256,10/9/2011,3904,152.58,97.44,595672.32,380405.76,215266.56
Europe,Macedonia,Personal Care,Offline,C,12/24/2015,597697722,2/10/2016,893,81.73,56.67,72984.89,50606.31,22378.58
Europe,Finland,Snacks,Online,M,7/1/2010,423063600,7/7/2010,2775,152.58,97.44,423409.50,270396.00,153013.50
Asia,Thailand,Clothes,Offline,C,6/16/2012,534911715,7/14/2012,1118,109.28,35.84,122175.04,40069.12,82105.92
Sub-Saharan Africa,Madagascar,Snacks,Offline,M,5/30/2017,269228398,7/17/2017,9521,152.58,97.44,1452714.18,927726.24,524987.94
Sub-Saharan Africa,Kenya,Clothes,Online,H,8/12/2010,832312476,9/20/2010,8612,109.28,35.84,941119.36,308654.08,632465.28
Europe,Italy,Cereal,Offline,C,3/31/2016,350775277,5/9/2016,1054,205.70,117.11,216807.80,123433.94,93373.86
Europe,Croatia,Vegetables,Offline,H,5/7/2010,621540629,6/1/2010,6539,154.06,90.93,1007398.34,594591.27,412807.07
Middle East and North Africa,Azerbaijan,Snacks,Offline,C,6/10/2015,361844861,7/14/2015,6790,152.58,97.44,1036018.20,661617.60,374400.60
Sub-Saharan Africa,Togo,Baby Food,Online,L,6/21/2013,159236800,8/3/2013,563,255.28,159.42,143722.64,89753.46,53969.18
Europe,Luxembourg,Baby Food,Online,L,3/2/2010,221577775,4/15/2010,8642,255.28,159.42,2206129.76,1377707.64,828422.12
Australia and Oceania,Palau,Cereal,Online,C,2/9/2016,827041614,2/23/2016,8847,205.70,117.11,1819827.90,1036072.17,783755.73
Sub-Saharan Africa,Chad,Cosmetics,Offline,H,8/23/2012,974114644,10/8/2012,1025,437.20,263.33,448130.00,269913.25,178216.75
Middle East and North Africa,Iraq,Meat,Offline,L,4/9/2016,631595695,4/28/2016,2056,421.89,364.69,867405.84,749802.64,117603.20
Sub-Saharan Africa,Namibia,Snacks,Online,L,4/6/2014,288596093,5/4/2014,852,152.58,97.44,129998.16,83018.88,46979.28
Europe,Russia,Cosmetics,Offline,H,11/17/2013,504539668,11/20/2013,3355,437.20,263.33,1466806.00,883472.15,583333.85
Sub-Saharan Africa,Niger,Cereal,Offline,H,11/19/2015,559162747,12/31/2015,7538,205.70,117.11,1550566.60,882775.18,667791.42
Asia,China,Office Supplies,Offline,H,9/25/2010,702514159,10/20/2010,8406,651.21,524.96,5474071.26,4412813.76,1061257.50
Asia,Indonesia,Clothes,Online,H,9/6/2012,804955232,10/26/2012,2996,109.28,35.84,327402.88,107376.64,220026.24
Middle East and North Africa,Turkey,Clothes,Offline,L,7/13/2010,807159793,7/14/2010,5374,109.28,35.84,587270.72,192604.16,394666.56
Australia and Oceania,Papua New Guinea,Household,Online,C,11/16/2016,270114171,12/15/2016,1641,668.27,502.54,1096631.07,824668.14,271962.93
